masked,original
대한민국엔 2명의가 산다. 서장훈과 안재현. 그들 덕분에 나라가 망하지되는거다,대한민국엔 2명의 부처가 산다. 서장훈과 안재현. 그들 덕분에 나라가 망하지 않고 유지되는거다
이래 진짜... 한심하다...,댓글 왜 이래 진짜... 넘 한심하다...
진짜 더럽네. 본인이 끄적인 이마디가 남에게는 큰 상처가 수 있다는 것을 모르는건가,댓글 진짜 더럽네. 본인이 끄적인 이 몇마디가 남에게는 큰 상처가 될 수 있다는 것을 모르는건가
투척,댓글 투척
##수보니는대 득달같이달려드는 수준?,댓글수보니 재밌는대 득달같이달려드는 수준인대?
댓글에 전처 딸 얘기가 많아서 악플 그만 하라한건데... 송윤아님 편하게좀요.데 자꾸시지 마세요. 좀자식 낳고 잘사는데...,댓글에 전처 딸 얘기가 많아서 악플 그만 하라한건데...송윤아님 편하게좀 두세요. 아니라는데 자꾸 그러시지 마세요. 좀자식 낳고 잘사는데...
보니 성유리는가 맞네,댓글을 보니 성유리는 아직 대세가 맞네
,댓글이 없다니 1등
##들마다 아직도 일진설 믿고 있는 넘 많네 ㅋㅋㅋ 지금이 2010년도도 아니고. 언제까지 그 매달리며 살래??,댓들마다 아직도 일진설 믿고 있는 사람들 넘 많네 ㅋㅋㅋ 지금이 2010년도도 아니고. 언제까지 그 시대에 매달리며 살래??
빼면 이쁘겠다,더 빼면 진짜 이쁘겠다.
더하세요. 살인미수,더 자숙하세요. 음주운전은 살인미수!
데리고 잇는 애들이 그렇게 쳐놧.. 질때도.. 됫지..,데리고 잇는 애들이 그렇게 사고를 쳐놧으니..책임을 질때도..됫지..
,도가 넘었다
##속 소름끼치던 간신에서 코믹까지 두루두루 진짜,도깨비속 소름끼치던 간신에서 코믹까지 두루두루 연기 진짜 좋아요
도박맞는데 왜감싸지 반성한다는데 그게거지,도박맞는데 왜감싸지 자숙하고 반성한다는데 그게맞는거지
##끼.. 나이는.지만네..,독끼..나이는.어리지만 멋지네..
"##적 캐릭터에 끼 많고도 한국에 없는 캐릭, 언니!!","독보적 캐릭터에 끼 많고 지금까지도 한국에 없는 캐릭, 언니 화이팅!!"
돈었죠. 대기업만 사람임,돈 엄청 벌었죠. 대기업만 다니던 사람임
##으면 쓰던거 버리고 새것지.. 용대야..,돈많으면 쓰던거 버리고 새것 사야지.. 잘했어 용대야..
돈이는 아니라지만 첫째가 돈이 먼저지 에는 돈으로 세상을사니,돈이전부는 아니라지만 첫째가 돈이 먼저지 이세상 에는 돈으로 세상을사니ㅠ
돌아가셨부모님이라 이미 장례식장 가계시구요 오보아니래요 ~,돌아가셨대요 친구부모님이 지인이라 이미 장례식장 가계시구요 오보아니래요~
돌아오면 받아들일수 있다. 어서 함정와라,돌아오면 받아들일수 있다..어서 함정에서 빠져나와라
동백엄마가 동백이 지장찍어간건까요? 대출 이런거... 함안댁 미워,동백엄마가 동백이 지장찍어간건 멀까요? 대출 이런거라면... 함안댁 미워ㅜㅜ
동생면 관심을 자기쪽으로 가져오려고 유독 더 까불고 둘째는 이미 강자가 버티고 있기때문에 상대적으로 얌전한편이더라.도 애기인데 벌써 동생이 있으니 관심받고 싶겠지,동생 태어나면 관심을 자기쪽으로 가져오려고 유독 더 까불고 둘째는 이미 강자가 버티고 있기때문에 상대적으로 얌전한편이더라.윌리엄도 아직 애기인데 벌써 동생이 있으니 관심받고 싶겠지
##간 JTBC에서긴어게인2도 같이함 ㅋㅋ,동시간대에 JTBC에서 비긴어게인2도 같이함 ㅋㅋ
동윤아♡앞으로의 더할께ㅋ35세 아이둘줌마가,동윤아 사랑해♡앞으로의 연기 더 기대할께ㅋ35세 아이둘줌마가
##놈 될,될놈 될
두 사이에 이승환이 큰데... 이승환은 없었나 보네요,두 사람 사이에 이승환 공이 큰데...이승환 언급은 없었나 보네요
두로물을 보고 싶었는데 좋겠다...,두 사람의 멜로물을 보고 싶었는데 아니었으면 좋겠다...
##도 될까요? ^ ^,두분 기대해도 될까요?^^
,두분 어울리네요
두사람 보기요. 키스 돼지.,두사람 보기좋아요. 키스 이제부터 하면 돼지.
둘 다 완전 멋지고 예다ㅜㅜ 근데.. 음.... 효린 왜 안나올? 잔나비도 글쿠.... 음......,둘 다 완전 멋지고 예뿌다ㅜㅜ 근데.. 음.... 효린 기사는 왜 안나올까요? 잔나비도 글쿠.... 음......
누군지 모름,둘다 누군지 진심 모름.
둘다모름 유빈인가 하는 백지 데려가나,둘다모름 유빈인가 하는사람은 백지영 데려가지않았나
둘이관계 아녀? 친남,둘이 남매관계 아녀? 친남매는 아니더라도
둘이이 와전쩌네,둘이 농담이였음 와전쩌네
,둘이 사귀겠다
둘이 사귀는구나 ㅠㅠㅠㅠㅠㅠㅠ 잘리는데 너무럽다,둘이 사귀는구나 ㅠㅠㅠㅠㅠㅠㅠ 잘어울리는데 너무부럽다
둘이면 될듯ㅎㅎ 잘림,둘이 사귀면 될듯ㅎㅎ 잘어울림
,둘이 사귀어라
##더라 ‼ ️ ️,둘이 재밋더라 ‼️‼️
둘이연같음 ~ ^ ^,둘이 천생연분같음 ~^^
##넘레,둘이넘 설레설레
##는둥이가,둘째는 다둥이가 아닙니다
##는 딸요 형님,둘째는 딸 낳아요 형님
##쇼는 케이윌 팀을 거라고 본다. 진짜 너무다.,듀엣쇼는 케이윌 팀을 위한 거라고 본다. 진짜 너무 아쉬웠다.
##국 짝을듯 이제 남자답게 고백만 남았다,드뎌 김종국 짝을 만나듯 이제 남자답게 고백만 남았다
드라마 학교에서 여주인공이 ^ ^ 반장이거같,드라마 학교에서 여주인공이였어요^^ 반장이였던거같아요
##는 연장하면 없어요 선희와송장이해피앤딩되게해주세요,드라마는 연장하면 잼 없어요 선희와송기장이해피앤딩되게해주세요
드라마를 안봐서 모르겠지만 대충보니 아저씨가 어린여자와하는 드라마인가?? 어쨋든 이 드라마가 대중들에게 잘 어필해서 아저씨들도 당당하게 어린 여자와 수 그런 계기가 되었으면 하네요,드라마를 안봐서 모르겠지만 대충보니 아저씨가 어린여자와 연애하는 드라마인가?? 어쨋든 이 드라마가 대중들에게 잘 어필해서 아저씨들도 당당하게 어린 여자와 만날 수 있는 그런 계기가 되었으면 하네요
영재가 어머니를 자살로 이끌 아마?,드라마에서는 영재가 어머니를 자살로 이끌었죠 아마?
딘 넘생 ~,딘 넘 잘생김~♡
딸??징?,딸 예뻤는데??뭐징?
딸 정말있어보입니다 ~ ~로 자랄.,딸 정말 매력있어보입니다~~ 모델로 자랄 듯.
##같은건 아닌가? 어디가 딸같다는..,딸같은건 오버 아닌가? 어디가 딸같다는 건지..
딸도 엄청쁠거가족도 즐추하세요,딸도 엄청 이쁠거 같아요 주차가족도 즐추하세요
##들이네,딸들이 다 이쁘네
딸아 엄마시키 좀. 에휴,딸아 엄마 걱정시키 좀 마라..에휴
,또 이러고 있네
##한 알베르토,똑똑하고 겸손한 알베르토.
##수럴수 이럴수! 구리구리근ㅋ합니다ㅎㅎ,럴수럴수 이럴수!구리구리 양동근ㅋ축하합니다ㅎㅎ
##디가 효은보다 못했다,레디가 효은보다 못했다고?
레이디 제인이랑 헤어지고 잘것같음 쌈디는,레이디 제인이랑 헤어지고 잘언풀리는것같음 쌈디는
로또사러갔다가 인생 로또 맞았네요 장동윤 앞으로,로또사러갔다가 인생 로또 맞았네요 장동윤배우 앞으로 응원합니다♥
##킴은며... 아니라!!,로이킴은 아니라며... 아니라며!!
로코를 못 살려 연기가 재미가 없음,로코 대사를 잘 못 살려 연기가 재미가 없음ㅜㅜ
로코퀸두진 박민영!!!,로코퀸 쌍두마차 서현진 박민영!!!
류이호징,류이호 나온다 꼭 봐야징
류이호생겼네,류이호 잘생겼네
린이 더 잘했는데ㅠ쉬,린이 더 잘했는데ㅠ아쉬움ㅠㅠ
린이 완전 솔지는 솔직히 임팩트없어서 탈락각이었는데. ㅠ 린 오늘 다이었는데 아쉽다,린이 완전 잘하고 솔지는 솔직히 임팩트없어서 탈락각이었는데.. ㅠ 린 오늘 다 대박이었는데 아쉽다
마녀사냥 하자,마녀사냥 적당히 하자
마닷 별 ㅋㅋㅋㅋㅋ 보면 안다,마닷 별론데 ㅋㅋㅋㅋㅋ 나중에 보면 안다
##닷을거 같은데,마닷 안나오면 재미없을거 같은데
마닷님이홍수현님을많이하고있다는게눈에보여요 둘이너무잘려요까지했으면좋겠어요,마닷님이홍수현님을많이좋아하고있다는게눈에보여요 둘이너무잘어울려요 결혼까지했으면좋겠어요
마마랜드1 너무 재밌게 봤음. 그리고 난 이 분 밝고 쾌활해서 좋던데 왜들 못잡아먹어서 안달.? 영화찍고 방송하면 연예인이지 무슨 직업이 뭐냐는 둥. 박수진 친구가 직업이라는 둥. 말도 안되는들 하는 참.,마마랜드1 너무 재밌게 봤음. 그리고 난 이 분 밝고 쾌활해서 좋던데 왜들 못잡아먹어서 안달..? 영화찍고 방송하면 연예인이지 무슨 직업이 뭐냐는 둥. 박수진 친구가 직업이라는 둥. 말도 안되는 얘기들 하는 사람들 참.
##놓고 한댄다 하이,마음놓고 한댄다 하이고
,마음이 아프네요ㅠ
마이크로 닷이 무슨? 이제 떴 안타깝다. 연예인으로 뜨는건 복권당첨과하다던데.. 안타깝다.,마이크로 닷이 무슨 죄냐?이제 떴는데 안타깝다.연예인으로 뜨는건 복권당첨과 비슷하다던데..안타깝다.
마자주로아가면서줬음 좋겠다 ㅜ 진심 ㅠ,마자 격주로 번갈아가면서 나와줬음 좋겠다 ㅜ 진심 ㅠ
죽,마지막에 이승기 죽습니다
마흔이 요즘은 늦은 나이 아니예요내시고 잘리시길,마흔이 요즘은 늦은 나이 아니예요힘내시고 몸 잘 추스리시길
막내딸이랑 기태영 잘 난리들 ㅠ,막내딸이랑 기태영 잘어울린데 왜 난리들 ㅠ
만 17살이면인데 2차이나면수도잇지,만 17살이면 고3인데 2살차이나면 만날수도잇지
둘이 과연콩달 할까? ㅋㅋ 상상만해도 너무좋다,만찬 둘이 과연 알콩달콩 할까? ㅋㅋ 상상만해도 너무좋다
##어용 주름 애들키우니깐,많이 변했어용 주름 ㅠ 애들키우니깐
##었을텐데해줘서 고마워♡,많이 힘들었을텐데 컴백해줘서 고마워♡
말 좀고 해라 악플러들아 다에게로,말 좀 생각해보고 해라 악플러들아 다 본인에게로 돌아간다
##뷰 아주 달달,말투뷰터 아주 달달혀
##거 메시야 가야 사람 좀 줄었겠지 거품빠지고 차라리 잘됐다 현우 보고싶다,맛난거 먹으러 메시야 가야겠다 사람 좀 줄었겠지 거품빠지고 차라리 잘됐다 현우 보고싶다
##작도 이런 망작 읍,망작도 이런 망작이 읍던데
##도 아닌데 뭐저렇게까지 아이를 봐야,맞벌이도 아닌데 뭐저렇게까지 아이를 봐야하나ㅠ
,매력 쩐다
##이 넘치는...,매력이 넘치는 배우...
매주봐도 고주원만한 비얼이중에서도 흔치않다.. 정말생겼다,매주봐도 고주원만한 비쥬얼이 연예인중에서도 흔치않다..정말 잘생겼다
##없는. 그래서ㅋㅋㅋㅋ,맥락없는 드라마. 그래서 좋음ㅋㅋㅋㅋ
맨위에사진은 아오이사닮게요,맨위에사진은 아오이츠카사닮게 나왔네요
묶어 주 ~ ~,머리 좀 묶어 주셔요~~
묶어주라.. 애겠다,머리카락좀 묶어주라.. 애 덥겠다
싫어도 쫌 밥좀 먹고 다녀라 너무 술 하고 담배 커피만 먹네차하시길,먹기 싫어도 쫌 밥좀 먹고 다녀라 너무 술 하고 담배 커피만 먹네 언능 쾌차하시길
먼 매력에렸는지.. 그리 얼굴도 아닌데 하라가 넘디..,먼 매력에 끌렸는지 .. 그리 잘생긴 얼굴도 아닌데 하라가 넘 아까운디 ..
먼가 내용 점점 산으로 가는듯 처음의 신선함은 없어지고 질질 끄는 듯한 기분 보는 만지작어용,먼가 내용 점점 산으로 가는듯 처음의 신선함은 없어지고 질질 끄는 듯한 기분 보는 내내 폰 만지작 거렸어용
##기만 하구만. 이러다 헤어지면 헤어지는거지뭐.할때 맘껏 즐기는거 보기 좋은데. 내숭보단 훨씬 낫다. 화이팅!,멋있기만 하구만.이러다 헤어지면 헤어지는거지뭐.연예할때 맘껏 즐기는거 보기 좋은데.내숭보단 훨씬 낫다.화이팅!!
! 얼굴은 안 빠지게 잘 해주세요 ~ ~,멋져요! 얼굴살은 안 빠지게 관리 잘 해주세요~~
명랑만화 같은 엄청 봤구요.... 오늘 2회 시청율은 더 오를것 같다.방사수 ~,명랑만화 같은 엄청 재밌게 봤구요....오늘 2회 시청율은 더 오를것 같다. 본방사수 할게요~
명수,명수형님 존경합니다
명품옷이라도 저렇게 전체적으로 로고가 다 디자인 옷은 너무 촌 않나요? 저런옷은 입기 챙피할거 같은데,명품옷이라도 저렇게 전체적으로 로고가 다 디자인 된 옷은 너무 촌스럽지 않나요? 저런옷은 왠지 입기 챙피할거 같은데
##수음같은데 결혼해도 티안내고 그럼 모름. 내가 겪어봄,모를수잇음 카톡같은데 결혼해도 티안내고 그럼 모름.내가 겪어봄
모야 크쉬 개져.... 노래들으면서야지,모야 크러쉬 개멋져....노래들으면서 자야지
모자 ^ ^ 감자야 까 엄마 잘 돌봐드려,모자 이뻐요^^감자야 까꿍 엄마 잘 돌봐드려
##성 탑인듯.. 대박 따라올자가 없다,목소리는 음악성 탑인듯 ..대박 따라올자가 없다
목숨걸고 나라구하고 사람구해야 겠어.에라도 이런 여친게.,목숨걸고 나라구하고 사람구해야 겠어. 다음 생에라도 이런 여친얻게.
몬일이 일어났음 좋겠다라는 식으로 이상하네 요하네것들 뭐냐..?,몬일이 일어났음 좋겠다라는 식으로 이상하네 요상하네 라고 댓글다는것들 뭐냐..?
##랏요읍서서 ^ ^,몰랏쪄요 관심읍서서^^
몰몬교 선교사 출신이 필로폰 게지가디....,몰몬교 선교사 출신이 필로폰 했다는 게 믿기지가 않는디....
##해도됨?,몸무게 막공개해도됨?
몸이 안준거였네. 심했겠다. 그냥 솔직하게 얘기하지...,몸이 안 따라준거였네. 마음고생 심했겠다. 그냥 솔직하게 얘기하지...
##도 인정하지ᆢ정말 종일난다깝다ㅜ,무서워도 인정하지ᆢ정말 종일 생각이난다안타깝다ㅜ
##가 있었겠지...,무슨 오해가 있었겠지...
##인건지 이해 못하는건지...,무슨 컨셉인건지 나만 이해 못하는건지...
##라... 좀 하세요!! 악플러들.,무죄라잖아 ... 그만 좀 하세요!! 악플러들.
##라이에 부탁 드려요문 채원 누님..,무지개라이브에 출연 부탁 드려요문 채원 누님 ..
##한 저 너머로 떠나...,무한한 공간 저 너머로 떠나셨네요 ...
문식이는 엄마를 뺏기는게 두려운거아닐까요.. 버려질까봐 무서운거구요.. 사랑이 고픈 어린아이같아요.. 친아들이었다면 저러지않았겠지요.. 친부모도 자 버렸는데 새 날 언제 내칠까하는이 컷을듯해요..,문식이는 엄마를 뺏기는게 두려운거아닐까요..버려질까봐 무서운거구요..사랑이 고픈 어린아이같아요..친아들이었다면 저러지않았겠지요..친부모도 자길 버렸는데 새엄마가 날 언제 내칠까하는 두려움이 컷을듯해요..
문재인 탄핵 젊은이 더,문재인 탄핵 주장하는 젊은이가 더 많다
##된 멤버와 소속사에진게임이 시작됐으니남은4명멤버 아이들은에서 들먹이지맙시다. 제발 ~,문제가된 멤버와 소속사에진실게임이 시작됐으니남은4명멤버 아이들은 게시판에서 들먹이지맙시다.제발~
뭐 웬디가 다쳤다고? 이런 또 병문 가야,뭐 웬디가 다쳤다고? 이런 또 내가 병문안을 가야겠군
뭐라고해도 보니허니ㅎㅎ진심 잘려요 ~ ~ 남자는 직진이다 ~ ~ 한번 사는 본승아 가즈아 ~ ~ ~,뭐라고해도 보니허니 응원합니다ㅎㅎ진심 잘어울려요~~남자는 직진이다~~한번 사는인생 본승아 가즈아~~~
##리ㅣ 이커 별,뭐리ㅣ 이커플 별루
##유. 소유진은 어째 고딩같아유. 갈수록네유.,뭐유.소유진은 어째 고딩같아유.갈수록 상큼해지네유.
뭔 김남길 김아중하고귐,뭔;; 김남길 김아중하고 사귐
뭔가커인 미나씨 닮은듯.. 미니 미나,뭔가 필립커플인 미나씨 닮은듯..미니미 미나
##입니스타..,뭘입어도 패셔니스타..
##가지를 이겼다고? 없네.,뮤지가 솔지를 이겼다고? 믿을수 없네.
미나가결혼한지2년만됫음?되지앗음?,미나가결혼한지2년만됫음? 더오래되지않앗음?
##는 깔,미모는 깔 수 없다
##요 식은 붕어해서...,미안해요 식은 붕어빵 먹게해서...
미애가해,미애가 이쁘긴해
미친 케이이라고 했잖아,미친 다들 케이윌이라고 했잖아 ㄷㄷㄷ
"미친... 걍 다럽... 연습생, 가수들이무슨... 아이즈원 엑스원...","미친...걍 다 안쓰럽...연습생, 가수들이무슨잘못...아이즈원 엑스원 힘내..."
미코 되고나서 몇년뒤 백화점서 본 적 있는데 키가 163인 나만했던걸로 기억. 내키가 미코 진 될만한 키는 아닌데...뻤음.,미코 되고나서 몇년뒤 백화점서 본 적 있는데 키가 163인 나만했던걸로 기억. 내키가 미코 진 될만한 키는 아닌데...이쁘긴 이뻤음.
민머리하니까 더겨보여,민머리하니까 더 잘생겨보여요
##상아 처남내고 와라,민상아 처남 잘보내고 와라
민이가 먹방하면민이스러워,민이가 먹방하면 좋겠어요민이 너무 사랑스러워
믿고보는 송혜교이상 눈호강함 어제는 인물 소개고 오늘부터 본격 스토리겠지 오늘도,믿고보는 송혜교 케미 기대이상 눈호강함 어제는 인물 소개고 오늘부터 본격 스토리겠지 오늘도 기대
믿고 혜리,믿고보는 혜리♥♥♥
바다현씨는 미친로었다!!!,바다 최소현씨는 미친 싱크로율이었다!!!
##게도 아니데 어느순간 팩트마냥ㅉㅉ,바람 핀게 팩트도 아니데 어느순간 팩트마냥ㅉㅉ
##녀는 아닐듯 표예진 짝사랑정도 겠지만회쯤 되서 다고 정선과 잘살기위해서 그랬다는둥 나올것 같음,바람녀는 아닐듯 표예진 짝사랑정도 겠지만 마지막회쯤 되서 다 밝혀지고 정선과 잘살기위해서 그랬다는둥 나올것 같음
바로 돌,바로 채널 돌림
박나래,박나래 까지마 ㅡㅡ
박나래 유재석 강호동과 3대 엠씨에 연예대상 성훈하고 썸♡ 밥블레스유 메인 꿰차고 완전,박나래 유재석 강호동과 3대 엠씨에 연예대상 성훈하고 썸♡ 밥블레스유 메인 꿰차고 완전 올해 대박이네요
박나래 전현무잖아 내 그렇게 보였음.. 나혼자 할때.. 모르겠다,박나래 전현무 좋아했잖아 내눈에는 그렇게 보였음..나혼자 할때..지금은 모르겠다
박나래는 이거 때문에 짠내거,박나래는 이거 때문에 짠내투어 나간거?
박민영이 너무 예뻐서 본다. 연기도 잘하고고뭐하나ㅈ빠 없네 ㅋ어쩜 이리니?,박민영이 너무 예뻐서 본다.연기도 잘하고 예쁘고뭐하나ㅈ빠지는게 없네 ㅋ어쩜 이리 예쁘니?
박민정씨 잘 ~ ~ 속이하네요ㅋㅋㅋ 이제야 탈퇴ㅡㅡ,박민정씨 잘 하셨어요~~ 속이 시원하네요ㅋㅋㅋ 이제야 탈퇴ㅡㅡ
박보검 + 송중기는 정해인 아님?? 진짜,박보검 + 송중기는 정해인 아님?? 진짜 조각상이야ㅜㅜ
박보검은 사이비가 예수중심교회를 다녔던 기독교 신자 ^ _ ^,박보검은 사이비가 아닌 예수중심교회를 다녔던 평범한 기독교 신자입니다^_^
##검은 기독교신자,박보검은 평범한 기독교신자입니다
박지보,박지민 브라보
박지,박지선은 ㅜㅜ
박한별,박한별 너무 이뻐~
박한별 이,박한별 너무 이쁨❤️
박한별 수고 책임감있게... 잔잔한 슬픔도는데 연기력이 어쩌고..,박한별 수고 했어요 책임감있게...잔잔한 슬픔 표현도 잘했는데 연기력이 어쩌고..
박한별같다,박한별도 피해자같다 ㅠㅠ
##별은 죄없어요 그남편이 죄있지... 박한별한테라하셔요,박한별은 죄없어요 그남편이 죄있지...박한별한테 그만뭐라하셔요
"박한별,., ㅡㅡ ; ;","박한별이 무슨 죄냐,.,ㅡㅡ;;"
,박형식은 뭐냐
반성해야함 배우는 한명도 노네이트,반성해야함 배우는 한명도 노미네이트
발연기로 대박 드라마에 낀 인간도 있는데 괜찮아 이정도면 ~어요 아기 보느라고 드문드문만 작정하고 까는 사람들 신경쓰지말고 열심히 ^ ^ 참! 댓글볼 시간도 없겠구나 ㅎㅎ,발연기로 대박 드라마에 낀 인간도 있는데 괜찮아 이정도면~ 재밌게 봤어요 아기 보느라고 드문드문 봤지만 작정하고 까는 사람들 신경쓰지말고 열심히^^ 참! 댓글볼 시간도 없겠구나 ㅎㅎ
방금 유동근 아재 회장여자 한테 엄 놓을때 ㅎㄷㄷ간만에 정도전때 포스 나오더만 진작 이렇게 만들지 이상하게를 만들어 놓아서.,방금 유동근 아재 회장여자 한테 엄포 놓을때 포스 ㅎㄷㄷ간만에 정도전때 포스 나오더만 진작 이렇게 만들지 이상하게 캐릭터를 만들어 놓아서.
##들이니까 믿음이가는걸???,방송작가들이니까 더 믿음이가는걸???
방탄 박지인줄 알고네...,방탄 박지민 얘기인줄 알고 놀랐네. . .
배기성 이수경닮,배기성 부인 이수경닮음
배를 ~ 보니 ~ 딸이 ~ 하하소원성취 하시겠구만 ㅎ하세요 ~ 저는 둘도힘들던데ㅋ더 고생하세요 ~ ^ ^,배를~보니~딸이네요~하하소원성취 하시겠구만 ㅎ대단하세요~저는 둘도힘들던데ㅋ더운데 고생하세요~^^
배 딸?,배연정 딸인가요?
배우들 다좋은데오나라랑은 부부하기에는 나이가... 안맞지 않나?주연이라하긴 좀 무리인듯,배우들 다좋은데오나라랑은 부부하기에는 나이가...안맞지 않나?첫주연이라 축하하긴 하는데 좀 무리인듯
배윤경,배윤경 예쁘다
백수 단장,백승수 단장님 ㅠㅠ
버닝썬 성폭행범,버닝썬 성폭행범은 어찌됐나요
버훈이제 ~ ~ ~!,버즈는 민경훈이제~~~!
벌건 대 낮에는 손톱 쓰면서 나사박 옆집 양해구하러 가면서 밤시간에는 음악 크게 틀어놓고 고기 구워먹던데. 설정한거 아님?? ㅋㅋㅋㅋㅋㅋ,벌건 대 낮에는 손톱 쓰면서 나사박는다고 옆집 양해구하러 가면서 밤시간에는 음악 크게 틀어놓고 고기 구워먹던데. 설정 너무 과한거 아님??ㅋㅋㅋㅋㅋㅋ
법대로 처리해주세요 제발... 일벌백계를 보여주세요 형벌중에 태형걸로습니다,법대로 처리해주세요 제발. . . 일벌백계를 보여주세요 태국 형벌중에 태형있는걸로 알고있습니다
베드보이은했나??,베드보이 표절 논란은 해결했나??
베은 저런딸 낳아준 빅토리아베컴이랑더졌을듯 상상이 안갈듯 막내딸 없는세상이ㅡ 너무귀엽다..,베컴은 저런딸 낳아준 빅토리아베컴이랑 사이더 좋아졌을듯 상상이 안갈듯 막내딸 없는세상이ㅡ 너무귀엽다..
걸이네 ~,별 걸 다 트집이네~
시덥지않은들은,별 시덥지않은 악플들은 모냐
별개 불편하네 ㅅ,별개 다 불편하네 -ㅅ -
##갖고 다... 서다보니 됐을수도...,별걸갖고 다... 서다보니 밀려 저렇게 됐을수도...
,별로 인데 ~
보고커플 넘이요.주는좀많이넣어주세요 ~,보고커플 넘이뻐요.담주는 분량좀많이넣어주세요~
보는 사람을 홀려들게 하는한 단연 독보적이고 범접할 수 압도적인 것♡,보는 사람을 홀려들게 하는 화려한 미모 단연 독보적이고 범접할 수 없는 압도적인 것♡
보신 모든분들 추천 누르면 다가올 2020년 대박나고 가족 모두가 만수무강 입니다 그리고 다들 밤 되 좋은 꿀 것 입니다,보신 모든분들 추천 누르면 다가올 2020년 대박나고 가족 모두가 만수무강 입니다 그리고 다들 좋은 밤 되시고 좋은 꿈을 꿀 것 입니다
##길이나오니깐가퓨짐해요 ㅎㅎㅎㅎ,복길이나오니깐 뭔가 스튜디오가퓨짐해요 ㅎㅎㅎㅎ
##길이도 반할,복길이도 반할만 해요
##만하고 좋으면 그만이지 왜들 욕하는지 이해가 안감. 사랑에 몸매나 나이차이가 꼭 받아쓰기처럼하나?,본인들만 행복하고 좋으면 그만이지 왜들 욕하는지 이해가 안감. 사랑에 몸매나 나이차이가 꼭 받아쓰기처럼 들어가야하나?
볼때마다 느끼는데 어딜가나 한혜진 전현무이네ㅋㅋ,볼때마다 느끼는데 어딜가나 한혜진은 항상 전현무 옆이네ㅋㅋ
볼매녀유쾌나고요!!! ♡,볼매녀 넘유쾌 잼나고 이뻐요!!!♡
##선 영면하시길...,부디 그곳에선 편히 영면하시길...
부러워서 욕하는거예요ㅠㅠ 우시니 제가 속상하네요. 한님이다고 생각했는데 스스로 그렇게 생각하실줄은 ㅜㅜ!,부러워서 욕하는거예요ㅠㅠ 우시니 제가 속상하네요.전 한혜진님이 예쁘다고 생각했는데 스스로 그렇게 생각하실줄은 ㅜㅜ!
부럽다. 나도 소간지랑 저..... 시프ㅠ,부럽다. 나도 소간지랑 저 집에서 살고.....시프네요ㅠ
부모가 능력이 있어서 그러는데 ~ 자식에게 이정도는 해줘도 되지?? 사기를 친것도 저정도 능력되면 이정도는 얼마든지 해줄듯,부모가 능력이 있어서 그러는데~자식에게 이정도는 해줘도 되지 않나요??사기를 친것도 아니고나도 저정도 능력되면 이정도는 얼마든지 해줄듯
부모가 백번 잘못 꼭 수척해지고 살 빠져야 하나? 커피 마신게 무슨 죽을 아니고 이렇게까지 몰아가야 합니까?,부모가 백번 잘못했지만 그렇다고 꼭 수척해지고 살 빠져야 하나? 커피 마신게 무슨 죽을 죄도 아니고 이렇게까지 몰아가야 합니까?
부모가걸 왜 아들이는지 모르겠네,부모가 잘못한걸 왜 아들이 변제해야되는지 모르겠네
부모가 큰죄를 져서 이사람 또한 순탄하길 바라진 않는맘 이해 하지만 다들 해야지 숨도 쉬지말라.,부모가 큰죄를 져서 이사람 또한 순탄하길 바라진 않는맘 이해 하지만 다들 적당히 해야지 숨도 쉬지말라는건가..
부산 남 남전집 가봐라 달고 준다. [UNK],부산 남천동 남천전집 가봐라 달고기전 준다. 개종맛턍
부자 보,부자 보거 싶다ㅜㅜ
부장검사 꼬리자르기로 윗선잡기 해야함,부장검사 꼬리자르기로 끝났기때문에 윗선잡기 해야함.
분위기 넘사벽... 아이들도 또래 아이들마냥 순수하고 명랑해서 귀여웠음.. 그리고 이상윤은 이영애 진짜 팬인듯ㅋㅋㅋㅋㅋㅋㅋ눈에서이 흘러내리고은 광대천,분위기 넘사벽...아이들도 또래 아이들마냥 순수하고 명랑해서 귀여웠음..그리고 이상윤은 이영애 진짜 팬인듯ㅋㅋㅋㅋㅋㅋㅋ눈에서 꿀이 흘러내리고 웃음은 광대승천
##들 ㅜㅜ하겠네,불쌍한 스텝들 ㅜㅜ고생하겠네
##해 보여요.....,불편해 보여요....T.T
붐이ㅜ왜ㅜ먹는지모르겟어. 범법자도 열심열심히 사는거같아디,붐이ㅜ왜ㅜ욕먹는지모르겟어. 범법자도 아니고 열심열심히 사는거같아 멋진디
##셨나,뷔페값 내셨나
##안에 결혼하면 쏜다했음 지났으니 무효ㅋㅋ,뷔페는 2018년안에 결혼하면 쏜다했음 지났으니 무효ㅋㅋ
##도 잘하네요. 군대 안갔으면 헐리우드에서 더해졌을수도 있는데. 어려운 환경에서 태어나 항상 열심히 사는 모습이 항상 존경스럽습니다.,비 연기도 잘하네요. 군대 안갔으면 헐리우드에서 더 유명해졌을수도 있는데. 어려운 환경에서 태어나 항상 열심히 사는 모습이 항상 존경스럽습니다.
##지를 씌 채 라이터를 갖다 댄 거 아닌데..,비닐봉지를 씌운 채 라이터를 갖다 댄 거 아닌데..
비민468신분?,비민번호468 부르신분 맞죠?
비싸면 부르지 말던가요 ~ ~ 송가테 그러나!!,비싸면 부르지 말던가요~~왜 송가인한테 그러나요!!
비와이는 예수님,비와이는 예수님이 지켰다
